,target,port,state,task_nr,direction,probe,correct,previous_port,previous_state,reward,block_nr,task_repeat_nr,port_repeat,next_correct,frac_corr,RT,time,current_sequence,graph_type
0,6,6,2,1,1,False,True,,,True,0,0,False,False,,0,5314,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
1,0,1,0,1,1,False,False,,,True,0,0,False,False,,0,5763,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
2,6,1,0,1,1,False,False,,,True,0,0,True,False,,,5973,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
3,6,3,1,1,1,False,False,,,True,0,0,True,True,,,6311,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
4,6,6,2,1,1,False,True,,,True,0,0,True,False,,,6615,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
5,0,6,2,1,1,False,False,,,True,0,0,False,True,,355,6970,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
6,0,0,3,1,1,False,True,,,True,0,0,True,True,,,7509,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
7,2,2,4,1,1,False,True,,,False,0,0,False,False,,854,8363,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
8,8,4,6,1,1,False,False,,,True,0,0,False,False,,938,9301,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
9,2,4,6,1,1,False,False,,,True,0,0,True,True,,,9479,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
10,2,2,4,1,1,False,True,,,True,0,0,True,False,,,9901,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
11,8,4,6,1,1,False,False,,,True,0,0,False,False,,555,10456,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
12,2,8,5,1,1,False,False,,,True,0,0,True,True,,,10771,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
13,2,2,4,1,1,False,True,,,True,0,0,True,False,,,11442,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
14,8,4,6,1,1,False,False,,,True,0,0,False,True,,439,11881,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
15,8,8,5,1,1,False,True,,,True,0,0,True,True,,,12184,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
16,4,4,6,1,1,False,True,,,True,0,0,False,False,,364,12548,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
17,7,2,4,1,1,True,False,,,True,0,0,False,False,,2219,14767,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
18,4,0,3,1,1,False,False,,,True,0,0,True,True,,,15286,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
19,4,4,6,1,1,False,True,,,True,0,0,True,False,,,15649,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
20,7,2,4,1,1,False,False,,,True,0,0,False,False,,533,16182,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
21,4,0,3,1,1,False,False,,,True,0,0,True,False,,,16770,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
22,4,1,0,1,1,False,False,,,True,0,0,True,True,,,17544,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
23,4,4,6,1,1,False,True,,,True,0,0,True,True,,,19859,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
24,7,7,7,1,1,False,True,,,True,0,0,False,False,,9012,28871,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
25,5,7,7,1,1,False,False,,,False,0,0,False,True,,204,29075,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
26,5,5,8,1,1,False,True,,,True,0,0,True,False,,,29864,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
27,1,5,8,1,1,False,False,,,True,0,0,False,True,,311,30175,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
28,1,1,0,1,1,False,True,,,True,0,0,True,False,,,31218,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
29,5,4,6,1,-1,False,False,,,True,0,0,False,True,,357,31575,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
30,1,1,0,1,1,False,True,,,True,0,0,True,False,,,32097,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
31,5,8,5,1,-1,False,False,,,True,0,0,False,False,,971,33068,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
32,1,7,7,1,1,False,False,,,True,0,0,True,False,,,55527,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
33,1,4,6,1,1,False,False,,,True,0,0,True,True,,,56148,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
34,1,1,0,1,1,False,True,,,True,0,0,True,False,,,56302,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
35,5,4,6,1,-1,False,False,,,True,0,0,False,False,,1085,57387,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
36,5,8,5,1,-1,False,False,,,True,0,0,True,True,,,57800,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
37,5,5,8,1,-1,False,True,,,True,0,0,True,True,,,68173,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
38,7,7,7,1,-1,False,True,,,False,0,0,False,True,,848,69021,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
39,4,4,6,1,-1,False,True,,,False,0,0,False,True,,1293,70314,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
40,8,8,5,1,-1,False,True,,,False,0,0,False,False,,410,70724,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
41,2,4,6,1,-1,False,False,,,False,0,0,False,True,,393,71117,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
42,8,8,5,1,-1,False,True,,,True,0,0,True,True,,,71601,"[1, 3, 6, 0, 2, 8, 4, 7, 5]",loop
